estado,situacao,votos,eleicao,ano,turno
Rondônia,COMPARECIMENTO,417622, Nulos e brancos 1989 Turno 1,1989,1
Acre,COMPARECIMENTO,140309, Nulos e brancos 1989 Turno 1,1989,1
Amazonas,COMPARECIMENTO,626652, Nulos e brancos 1989 Turno 1,1989,1
Roraima,COMPARECIMENTO,56045, Nulos e brancos 1989 Turno 1,1989,1
Pará,COMPARECIMENTO,1627799, Nulos e brancos 1989 Turno 1,1989,1
Amapá,COMPARECIMENTO,91937, Nulos e brancos 1989 Turno 1,1989,1
Tocantins,COMPARECIMENTO,317901, Nulos e brancos 1989 Turno 1,1989,1
Maranhão,COMPARECIMENTO,1466281, Nulos e brancos 1989 Turno 1,1989,1
Piauí,COMPARECIMENTO,1074579, Nulos e brancos 1989 Turno 1,1989,1
Ceará,COMPARECIMENTO,2811171, Nulos e brancos 1989 Turno 1,1989,1
R. G. do Norte,COMPARECIMENTO,1118754, Nulos e brancos 1989 Turno 1,1989,1
Paraíba,COMPARECIMENTO,1466880, Nulos e brancos 1989 Turno 1,1989,1
Pernambuco,COMPARECIMENTO,3210571, Nulos e brancos 1989 Turno 1,1989,1
Alagoas,COMPARECIMENTO,967803, Nulos e brancos 1989 Turno 1,1989,1
Sergipe,COMPARECIMENTO,675060, Nulos e brancos 1989 Turno 1,1989,1
Bahia,COMPARECIMENTO,4711197, Nulos e brancos 1989 Turno 1,1989,1
Minas Gerais,COMPARECIMENTO,8399385, Nulos e brancos 1989 Turno 1,1989,1
Espírito Santo,COMPARECIMENTO,1271472, Nulos e brancos 1989 Turno 1,1989,1
Rio de Janeiro,COMPARECIMENTO,7641004, Nulos e brancos 1989 Turno 1,1989,1
São Paulo,COMPARECIMENTO,17443260, Nulos e brancos 1989 Turno 1,1989,1
Paraná,COMPARECIMENTO,4519095, Nulos e brancos 1989 Turno 1,1989,1
Santa Catarina,COMPARECIMENTO,2523413, Nulos e brancos 1989 Turno 1,1989,1
R. G. do Sul,COMPARECIMENTO,5362973, Nulos e brancos 1989 Turno 1,1989,1
M. G. do Sul,COMPARECIMENTO,863491, Nulos e brancos 1989 Turno 1,1989,1
Mato Grosso,COMPARECIMENTO,794124, Nulos e brancos 1989 Turno 1,1989,1
Goiás,COMPARECIMENTO,1895879, Nulos e brancos 1989 Turno 1,1989,1
Distrito Federal,COMPARECIMENTO,782751, Nulos e brancos 1989 Turno 1,1989,1
Rondônia,ABSTENÇÃO,140159, Nulos e brancos 1989 Turno 1,1989,1
Acre,ABSTENÇÃO,42488, Nulos e brancos 1989 Turno 1,1989,1
Amazonas,ABSTENÇÃO,215431, Nulos e brancos 1989 Turno 1,1989,1
Roraima,ABSTENÇÃO,16956, Nulos e brancos 1989 Turno 1,1989,1
Pará,ABSTENÇÃO,559053, Nulos e brancos 1989 Turno 1,1989,1
Amapá,ABSTENÇÃO,26207, Nulos e brancos 1989 Turno 1,1989,1
Tocantins,ABSTENÇÃO,146159, Nulos e brancos 1989 Turno 1,1989,1
Maranhão,ABSTENÇÃO,678071, Nulos e brancos 1989 Turno 1,1989,1
Piauí,ABSTENÇÃO,259703, Nulos e brancos 1989 Turno 1,1989,1
Ceará,ABSTENÇÃO,540435, Nulos e brancos 1989 Turno 1,1989,1
R. G. do Norte,ABSTENÇÃO,179334, Nulos e brancos 1989 Turno 1,1989,1
Paraíba,ABSTENÇÃO,289537, Nulos e brancos 1989 Turno 1,1989,1
Pernambuco,ABSTENÇÃO,553572, Nulos e brancos 1989 Turno 1,1989,1
Alagoas,ABSTENÇÃO,242994, Nulos e brancos 1989 Turno 1,1989,1
Sergipe,ABSTENÇÃO,101011, Nulos e brancos 1989 Turno 1,1989,1
Bahia,ABSTENÇÃO,1182664, Nulos e brancos 1989 Turno 1,1989,1
Minas Gerais,ABSTENÇÃO,1033718, Nulos e brancos 1989 Turno 1,1989,1
Espírito Santo,ABSTENÇÃO,136287, Nulos e brancos 1989 Turno 1,1989,1
Rio de Janeiro,ABSTENÇÃO,555543, Nulos e brancos 1989 Turno 1,1989,1
São Paulo,ABSTENÇÃO,1057720, Nulos e brancos 1989 Turno 1,1989,1
Paraná,ABSTENÇÃO,526531, Nulos e brancos 1989 Turno 1,1989,1
Santa Catarina,ABSTENÇÃO,206503, Nulos e brancos 1989 Turno 1,1989,1
R. G. do Sul,ABSTENÇÃO,337488, Nulos e brancos 1989 Turno 1,1989,1
M. G. do Sul,ABSTENÇÃO,138741, Nulos e brancos 1989 Turno 1,1989,1
Mato Grosso,ABSTENÇÃO,233848, Nulos e brancos 1989 Turno 1,1989,1
Goiás,ABSTENÇÃO,304086, Nulos e brancos 1989 Turno 1,1989,1
Distrito Federal,ABSTENÇÃO,74579, Nulos e brancos 1989 Turno 1,1989,1
Rondônia,VOTOS EM BRANCO,6808, Nulos e brancos 1989 Turno 1,1989,1
Acre,VOTOS EM BRANCO,2673, Nulos e brancos 1989 Turno 1,1989,1
Amazonas,VOTOS EM BRANCO,9151, Nulos e brancos 1989 Turno 1,1989,1
Roraima,VOTOS EM BRANCO,676, Nulos e brancos 1989 Turno 1,1989,1
Pará,VOTOS EM BRANCO,29294, Nulos e brancos 1989 Turno 1,1989,1
Amapá,VOTOS EM BRANCO,1072, Nulos e brancos 1989 Turno 1,1989,1
